is_goal,distance_to_goal,angle_to_goal,shot_body_part,play_pattern,under_pressure,shot_statsbomb_xg
1,12.860015552090129,28.88171452268812,Left Foot,From Goal Kick,0,0.40810898
0,20.860728654579642,15.874241022660259,Right Foot,From Counter,1,0.06202265
0,15.634896865665606,21.762481321457567,Left Foot,Regular Play,0,0.0776978
1,8.000624975587845,53.12437320590988,Right Foot,From Free Kick,0,0.6262809
0,13.155227098001763,24.868530632594197,Right Foot,Regular Play,0,0.35130003
0,23.555254190944318,14.244958956433392,Right Foot,From Kick Off,0,0.03397081
0,19.103141102970476,18.625378017827934,Right Foot,From Free Kick,0,0.05519996
0,11.208925015361643,12.347191172580523,Right Foot,From Free Kick,0,0.020840297
0,16.00781059358212,26.234998993306316,Right Foot,From Counter,1,0.1934709
0,27.772288346479478,16.127575825959845,Right Foot,Regular Play,0,0.025340356
0,20.48414020651099,21.82098774614444,Left Foot,From Throw In,0,0.054300383
0,8.190848551890088,50.69109814692395,Head,From Throw In,1,0.104244776
0,9.708243919473801,17.58512191234613,Left Foot,Regular Play,0,0.108029366
0,28.887713651308573,13.783964268719156,Left Foot,Regular Play,0,0.024362085
0,11.672617529928752,37.41861851980215,Head,From Throw In,0,0.08771692
0,20.44162420161373,18.594770463760774,Right Foot,From Throw In,0,0.041306578
0,22.398660674245676,17.46344445895997,Left Foot,From Corner,0,0.026916144
0,6.315853069855248,39.935071482956886,Head,From Corner,1,0.1189759
0,19.386851214160586,19.693655503981184,Right Foot,From Keeper,0,0.07960723
0,25.732858372128035,17.391882342783873,Left Foot,From Corner,0,0.024012579
0,20.519746587129184,20.667883128006274,Left Foot,From Goal Kick,1,0.048855886
0,19.535864454894238,22.99877628185034,Left Foot,Regular Play,1,0.10219261
0,19.33313218286163,17.848277051090633,Left Foot,From Throw In,1,0.071706615
0,8.095060222135476,49.30789998932022,Right Foot,From Keeper,0,0.09935363
0,10.606601717798211,37.63166466531086,Right Foot,From Keeper,1,0.19960539
0,7.21248916810279,56.87409587707282,Head,Regular Play,0,0.30245224
0,13.337541002748592,33.314373638946826,Right Foot,From Free Kick,0,0.07160131
0,21.949259668608413,7.920404104353242,Right Foot,From Goal Kick,1,0.0061408128
0,8.18596359630313,49.24999082943623,Head,From Corner,1,0.07045005
0,16.182088863926065,17.17737330356256,Right Foot,From Corner,0,0.04308796
0,5.889821729050887,62.56316501096378,Left Foot,From Corner,0,0.4909717
0,3.7483329627982607,95.35582504285524,Other,Regular Play,0,0.5721495
1,21.385976713725288,19.373733507092282,Left Foot,From Throw In,0,0.059259485
0,16.401219466856727,22.345955827829535,Left Foot,From Free Kick,0,0.062208217
0,25.287348615463824,17.919232984967277,Right Foot,From Throw In,0,0.030668529
0,9.569221493935652,39.906100351927364,Left Foot,Regular Play,0,0.069653474
0,25.467822835884505,13.784289075527175,Right Foot,Regular Play,0,0.029882463
0,12.58769240170731,28.8270034123387,Head,From Free Kick,1,0.024015462
0,23.924046480476505,15.586767146318527,Right Foot,From Corner,1,0.022953799
0,8.98943824718764,44.63970988515147,Left Foot,From Corner,0,0.18923391
0,18.14745161172775,19.928469609294094,Left Foot,Regular Play,0,0.08083876
1,4.428317965096905,83.56353273014273,Right Foot,From Counter,0,0.790909
0,18.172781845386247,24.61885606004722,Right Foot,From Throw In,0,0.09564507
0,20.208908926510603,17.85480273308231,Left Foot,From Throw In,0,0.046335444
0,15.033628969746465,29.57889831273375,Left Foot,Regular Play,1,0.13418972
0,23.517227727774376,19.292802377508437,Left Foot,Regular Play,0,0.04520454
0,19.86454127333425,19.544459130522323,Right Foot,Regular Play,1,0.03323832
0,30.50409808533929,12.192703602993044,Right Foot,From Corner,0,0.007451811
0,21.176638071233114,21.322399188745546,Head,From Throw In,0,0.033830326
0,23.795167576632025,18.490850782873057,Left Foot,Regular Play,0,0.03268242
0,14.773286702694158,13.350999898526387,Right Foot,Regular Play,0,0.04214545
0,11.016805344563362,37.481772734361144,Head,From Corner,0,0.06376064
1,4.997999599839924,76.56768014107615,Head,Regular Play,1,0.33106714
0,19.200260414900626,19.14118965899011,Right Foot,Regular Play,0,0.10093839
0,19.474342094150447,15.976639620181574,Right Foot,Regular Play,0,0.03356069
